"","ind_70_final","ind_80","occ_70_final","occ_80"
"7180",68,60,12,55
"15004",118,242,602,785
"91450",539,530,575,547
"103657",838,831,926,207
"114958",838,831,65,84
"34804",379,210,692,777
"36889",317,142,461,637
"89156",747,741,962,426
"81678",707,700,394,389
"90218",749,750,310,276
"19879",168,300,643,888
"91046",758,752,482,526
"95490",779,771,630,748
"118168",887,881,915,435
"117330",877,880,903,453
"59754",559,531,694,889
"11010",69,60,751,869
"58667",539,530,395,379
"19858",168,300,692,777
"125328",937,930,395,379
"127064",937,910,100,174
"58212",69,60,522,585
"6622",67,60,430,575
"102527",838,831,75,95
"122851",917,921,1,23
"116508",867,851,141,159
"53276",448,441,552,529
"42268",339,172,281,257
"109615",857,842,142,156
"18952",158,282,550,597
"70842",648,621,245,243
"82393",707,700,372,313
"121000",907,412,361,354
"112437",857,842,903,453
"81526",707,700,341,344
"52960",448,441,441,633
"91161",758,752,485,523
"97946",808,801,932,456
"57831",529,512,282,259
"25356",208,342,680,783
"79868",687,660,283,274
"93013",769,761,980,406
"95589",779,771,630,748
"32430",258,362,245,13
"108290",857,842,142,156
"47748",407,400,780,889
"13325",67,60,441,558
"66284",628,601,762,877
"38881",319,151,663,744
"80230",689,681,425,185
"22718",197,331,461,637
"41649",338,171,903,453
"49955",417,410,715,804
"104663",839,832,925,447
"5508",49,42,375,386
"39729",319,151,281,259
"59366",558,552,245,243
"59576",558,552,441,633
"96992",788,780,935,456
"20579",177,310,381,365
"110675",857,842,245,19
"781",17,10,802,475
"19052",158,282,11,53
"45769",379,210,415,567
"41639",338,171,266,278
"55524",478,471,452,36
"116071",828,812,65,84
"43561",347,192,903,453
"80636",697,682,283,185
"78570",669,641,915,435
"75223",669,641,230,19
"78205",669,641,915,435
"27795",219,351,651,709
"70566",647,620,231,13
"63459",609,591,310,276
"115412",858,850,32,164
"108730",857,842,142,156
"106235",849,841,370,313
"25525",208,342,610,797
"75022",669,641,915,435
"92838",769,761,984,407
"92043",769,761,980,406
"73041",657,630,210,7
"5412",49,42,282,259
"46178",387,212,690,719
"64774",617,592,283,274
"75306",669,641,915,435
"92287",769,761,980,406
"64824",617,592,310,276
"119932",897,891,602,785
"41767",338,171,266,278
"76131",669,641,915,435
"54323",467,460,376,314
"85784",717,711,265,253
"17794",147,271,481,518
"21307",179,312,374,364
"88259",729,730,91,166
"61911",608,530,372,313
"46264",387,212,690,777
"115426",708,702,310,276
"110767",857,842,142,156
"79850",687,660,305,337
"52786",448,441,552,529
"90620",757,751,473,505
"120444",907,412,331,355
"64605",617,592,283,274
"91144",609,591,470,534
"12979",77,60,715,804
"45786",379,210,4,64
"80115",689,681,245,185
"37082",317,142,672,738
"100129",838,831,925,447
"122798",917,932,430,575
"27153",209,350,12,55
"20155",168,300,656,706
"7489",68,60,680,783
"44378",358,182,643,888
"105260",839,832,925,447
"98995",828,812,922,446
